"Key","English"
"key_direct_pay_button_title","Confirm Place Order"
"key_please_enter_cvv","Please Enter CVV"
"key_cvv","cvv"
"key_zone","Zone"
"key_zone_placholder","Zone name/no"
"key_floor","Floor"
"key_floor_placholder","Floor no"
"key_building_placeholder","Villa/Building no"
"key_street","Street"
"key_street_placholder","Street no"
"key_zone_is_required","Zone is required"
"key_street_is_required","Street is required"
"key_pickup_from_store","Pickup from store"
"key_pickup_time","Pickup time"
"key_pickup_instructions","Pickup Instructions"
"key_pickup_note_placholder","Any additional pickup note?"
"key_store_address","Store Address"
"key_store_direction","Get Directions"
"key_store_timing","Store Timing"
"key_ready_state","READY"
"key_please_install_google_map","Please install Google map"
"key_Refer","Refer"
"key_refer_text","Get a discount on your first order on enviospet following this link 👉"
"key_terms_condition_heighlighted_text","Terms & Conditions"
"key_double_opt_In","Receive important updates &amp; notifications via email!"
"key_additive","ADDITIVE"
"key_allergens","ALLERGENS"
"key_additive_allergens_title","ADDITIVE & ALLERGENS"
"key_just_browse","Just Browse"
"key_get_started","Sign In"
"key_just_browse_text","You're in browsing mode!"
"key_signin_just_browse_text","You are currently in \n browsing mode. You must \nsign in to start shopping!"
"key_keep_browsing","Keep Browsing"
"key_signin_with","Sign in"
"key_sms_verification","SMS Verification"
"key_please_select_countrycode","Please select your country code"
"key_an_activation_code","We've sent you an SMS on"
"key_enter_code","Enter your activation code."
"key_proceed","PROCEED"
"key_confirm","CONFIRM"
"key_next","NEXT"
"key_did_not_receive_code_button","I DID NOT RECEIVE THE CODE!"
"key_standard_rates_apply_message","if you use phone sign-in,you might receive an SMS message for verification and standard rates apply."
"key_account_deleted","Account Deleted"
"key_need_saudi_number_in_order_to_deliver_AFC","We need a Saudi number in order to deliver"
"key_country_code","Country Code"
"key_country","Country"
"key_phone_number","Phone number"
"key_enter_5_digit_code","Enter your 5-digit activation code."
"key_enter_phone_to_receive_code","Enter your phone number to receive an activation code."
"key_email","Email"
"key_activating_number","Activating number..."
"key_activating_code","Activation code"
"key_activating_account","Activating account..."
"key_complete_detail","Complete your details"
"key_pick_country","PICK COUNTRY"
"key_code_not_received","Code not received?"
"key_delay_explanation","The delay is usually due to your mobile operator. Please send us an email so we could resolve the issue and get you started."
"key_i_will_wait","I'll Wait"
"key_request_by_email","Request by Mail"
