"key_mendatory_msg","%@ là bắt buộc"
"key_apt_placeholder","Tầng 3 bên trái"
"key_maximum_basket_required","Khuyến mãi này chỉ được áp dụng với giỏ hàng tối đa %@"
"key_minimum_basket_required","Khuyến mãi này chỉ được áp dụng với giỏ hàng tối thiểu %@"
"key_account_deleted","Đã xóa tài khoản"
"key_activating_account","Đang kích hoạt tài khoản"
"key_activating_number","Đang kích hoạt số điện thoại..."
"key_title_activation","KÍCH HOẠT"
"key_activating_code","Mã kích hoạt"
"key_active_orders","Đơn hàng"
"key_add","THÊM"
"key_add_for_free_delivery","Thêm %@ để nhận miễn phí giao hàng"
"key_new_card_message","Thêm phương thức thanh toán"
"key_add_some_tips","Thêm tip"
"key_add_card","THÊM THẺ"
"key_add_credit_card","Thêm Thẻ tín dụng"
"key_add_location","THÊM ĐỊA CHỈ"
"key_add_new","Thêm Mới"
"key_add_online_method","Thêm phương thức Thanh toán Online"
"key_payment_type_pre_pay","Thêm phương thức Thanh toán Online"
"key_add_promo","THÊM KHUYẾN MÃI"
"key_add_promo_code","Thêm Mã giảm giá"
"key_add_this_products_favt","Thêm sản phẩm này vào mục yêu thích của bạn"
"key_add_to_basket","Thêm vào Giỏ hàng"
"key_addtoorder","Thêm vào đơn hàng"
"key_add_your_comments","Thêm nhận xét..."
"key_add_first_address","Thêm địa chỉ của bạn"
"key_additional_info","Thông tin bổ sung"
"key_additional_info_required","Cần thêm thông tin"
"key_additive","PHỤ GIA"
"key_allergens","BỔ SUNG"
"key_additive_allergens_title","PHỤ GIA & CHẤT GÂY DỊ ỨNG"
"key_address","Địa chỉ"
"key_address_detail","Địa chỉ chi tiết"
"key_address_required","Địa chỉ là trường thông tin bắt buộc"
"key_address_type","Loại địa chỉ"
"key_my_addresses","Địa chỉ"
"key_allergens","CHẤT GÂY DỊ ỨNG"
"key_amount_due","Số tiền phải trả"
"key_amount_paid","Số tiền đã trả"
"key_an_error_has_occurred","đã có lỗi xảy ra"
"key_any","Mỗi"
"key_delivery_note","Thêm yêu cầu giao hàng?"
"key_pickup_note_placholder","Bổ sung ghi chú nhận hàng?"
"key_apply","Áp dụng"
"key_apply_promo","ÁP DỤNG KHUYẾN MÃI"
"key_apply_promo_code","ÁP DỤNG MÃ GIẢM GIÁ"
"key_apt","Số nhà
are_you_sure_clear_recent","Bạn có chắc chắn muốn xóa những sản phẩm thường được đặt hàng?"
"key_address_delete_confirmation","Bạn có chắc muốn xoá địa chỉ này"
"key_delete_card_message","Bạn có chắc chắn muốn xóa thẻ này"
"key_account_delete_msg","Bạn có chắc chắn muốn xóa tài khoản? Đây là hành động không thể khôi phục."
"key_account_delete_msg","Bạn có chắc chắn muốn xóa tài khoản? Hành động này không thể đảo ngược."
"key_logout_confirmation","Bạn có chắc chắn muốn đăng xuất?"
"key_remove_item_from_your_basket","Bạn có chắc chắn muốn xóa sản phẩm này khỏi giỏ hàng?"
"key_remove_item_from_your_basket","Bạn có chắc muốn xoá tất cả các sản phẩm trong giỏ hàng của bạn?"
"key_remove_promo_code_confirmation","Bạn có chắc muốn xoá mã giảm giá của bạn."
"key_area","Khu vực"
"key_locality_placeholder","Khu Vực/Đường/Phố"
"key_ASAP","NGAY"
"key_available_quantity","Số lượng có sẵn"
"key_back","Trở lại"
"key_back","Quay lại"
"key_basket","Giỏ hàng"
"key_best_offers","Giá tốt nhất"
"key_billing_info","Thông tin hoá đơn"
"key_billing_name","TÊN TRÊN HOÁ ĐƠN"
"key_birthday","SINH NHẬT"
"key_bob","BOB"
"key_book_now","ĐẶT NGAY"
"key_braintree","Braintree"
"key_building","Toà nhà"
"key_building_is_required","Toà nhà là trường thông tin bắt buộc"
"key_cad","CAD"
"key_cad","CAD"
"key_calculating","Đang tính..."
"key_call_us","Gọi"
"key_call_center","Tổng đài"
"key_call_support","Liên hệ Chăm sóc khách hàng"
"key_cancel","Huỷ"
"key_cancel_order","Huỷ Đơn hàng"
"key_cancel_reason","Lý do hủy"
"key_delivery_address_has_been_confirmed","Không thể đặt hàng cho tới khi địa chỉ giao hàng được xác nhận"
"key_pickup_address_has_been_confirmed","Không thể đặt hàng cho đến khi địa chỉ nhận hàng đã được xác nhận"
"key_card_number","SỐ THẺ"
"key_cash","Tiền mặt"
"key_cash_on_delivery","Tiền mặt"
"key_change_language","Đổi ngôn ngữ"
"key_change_language","Thay đổi ngôn ngữ"
"key_clear_cart_on_location_change_message","Đổi sang địa chỉ này sẽ xoá bỏ giỏ hàng hiện tại của bạn. Xoá giỏ hàng và tiếp tục?"
"key_chat","Chat"
"key_choose_date","CHỌN NGÀY"
"key_choose_location","CHỌN MỘT ĐỊA CHỈ"
"key_choose_delivery_date","Chọn Ngày Nhận Hàng"
"key_password_placholder","Chọn mật khẩu"
"key_clear","Xoá"
"key_clear_basket","Xoá giỏ hàng?"
"key_clear_cart_on_location_change","Xoá giỏ hàng?"
"key_close","ĐÓNG"
"key_closed_on_that_day","Cửa hàng đóng cửa!"
"key_closed_till","Đóng cửa tới"
"key_closed_prefix","Đóng"
"key_copied_to_clipboard","Mã đã được lưu lại vào clipboard!"
"key_code_not_received","Không nhận được mã?"
"key_coming_soon","Sắp tới rồi!"
"key_company_name","Tên Công ty"
"key_complete","Hoàn thành"
"key_complete_detail","Hoàn thành thông tin chi tiết của bạn"
"key_confirm","XÁC NHẬN"
"key_confirm_pin","Xác nhận ghim"
"key_direct_pay_button_title","Xác nhận Đặt hàng"
"key_confirmed","Xác nhận"
"key_contact_us","Liên hệ"
"key_continue","TIẾP TỤC"
"key_cost_per_person","Chi phí (mỗi người)"
"key_could_not_create_address","Không thể tạo địa chỉ, xin hãy thử lại."
"key_could_not_place_order","Không thể đặt hàng"
"key_country","Quốc gia"
"key_country_code","Mã quốc gia"
"key_creating_your_address","Tạo địa chỉ"
"key_payment_type_credit","THẺ TÍN DỤNG"
"key_credit_card","Thẻ tín dụng"
"key_cuisine","Ẩm thực"
"key_current_balance","Số dư hiện tại"
"key_cvv","CVV"
"key_birthday_placeholder","dd/MM/yyyy"
"key_delete_account","Xóa tài khoản"
"key_delete_address","XOÁ ĐỊA CHỈ"
"key_delete_card_title","Xoá Thẻ tín dụng?"
"key_delivering_to","GIAO TỚI"
"key_delivery","Giao hàng"
"key_delivery_address","Địa chỉ giao hàng"
"key_delivery_date","Ngày giao hàng"
"key_delivery_fee","Phí giao hàng"
"key_delivery_vat","Thuế phí giao hàng"
"key_delivery_instructions","Hướng dẫn giao hàng"
"key_delivery_instructions_mondatory","Ghi chú Nhận hàng là thông tin bắt buộc"
"key_delivery_time","Thời gian giao hàng"
"key_delivery_within","Giao hàng trong vòng"
"key_title_details","CHI TIẾT"
"key_discard","Huỷ bỏ"
"key_discount","GIẢM GIÁ"
"key_off_delivery_fee","giảm giá trên phí Giao hàng"
"key_off_subtotal","giảm giá trên Tổng thanh toán"
"key_off_total","giảm giá trên Tổng tiền hàng"
"key_dismiss","Đóng"
"key_distance","KHOẢNG CÁCH"
"key_done","xong"
"key_driver","Nhân viên giao hàng"
"key_header_sorry_message","ðŸ’” Rất tiếc! Chúng tôi chưa giao hàng tới khu vực này."
"key_edit","Thay đổi"
"key_edit_address","Sửa địa chỉ"
"key_edit_permissions","Thay đổi quyền truy cập"
"key_email","Email"
"key_enter_few_words_search","Nhập một số từ để tìm kiếm"
"key_billing_placeholder","Nhập tên trên hoá đơn"
"key_vat_placeholder_mano","Nhập số PIT"
"key_promo_field_place_holder","Thêm mã giảm giá"
"key_vat_placeholder","Nhập thuế giá trị gia tăng #"
"key_enter_5_digit_code","Nhập mã kích hoạt gồm 5 chữ số của bạn."
"key_enter_code","Nhập mã kích hoạt."
"key_enter_your_comments","Thêm nhận xét"
"key_enter_your_details","Nhập chi tiết"
"key_enter_email","Nhập email của bạn"
"key_enter_full_name","Nhập đầy đủ tên của bạn"
"key_full_name_placeholder","Nhập đầy đủ tên của bạn"
"key_enter_phone_number","Thêm nhận xét..."
"key_enter_phone_to_receive_code","Nhập số điện thoại của bạn để nhận mã kích hoạt."
"key_error","Lỗi"
"key_eta","ETA"
"key_eur","EUR"
"key_expiry_date","Ngày hết hạn"
"key_expiry_date_format_error","Sai định dạng ngày hết hạn"
"key_failed_to_activate_account","Không thể kích hoạt tài khoản, vui lòng thử lại sau."
"key_card_create_failure","Tạo thẻ không thành công"
"key_card_save_failed","Lưu thẻ không thành công"
"key_family_home","Nhà riêng"
"key_faq","FAQ"
"key_fast_delivery","Giao hàng nhanh"
"key_feedback_subject","Phản hồi"
"key_female","Nữ"
"key_gender_female","Nữ"
"key_fetching_location","Tìm kiếm địa chỉ"
"key_filter_store","Lọc Cửa Hàng"
"key_filters","Lọc"
"key_name_placholder","Họ và tên"
"key_floor","Tầng"
"key_additional_info_placeholder","Tầng/ Số nhà"
"key_floor_placholder","Tầng"
"key_found_products_out_of_stock","Một vài sản phẩm trong giỏ hàng của bạn đã tạm hết. Vui lòng cập nhật giỏ hàng."
"key_minimum_charge","Đơn hàng tối thiểu"
"key_free_delivery_for_basket","Giao hàng miễn phí cho giỏ hàng > %@"
"key_free_delivery_for_basket","Miễn phí giao hàng cho đơn hàng với giá trị lớn hơn %>"
"key_frequently_ordered","Thường được đặt hàng"
"key_fresh_line","Làm mới dòng"
"key_5","Thứ Sáu"
"key_friday","Thứ Sáu"
"key_fridays","Thứ Sáu"
"key_summary_from","Từ"
"key_full_name","Tên đầy đủ"
"key_gender","Giới tính"
"key_refer_text","Nhận ưu đãi cho đơn hàng đầu tiên theo đường dẫn này 👉"
"key_store_direction","Xem chỉ dẫn đường đi"
"key_gift_wrap_products","Sản phẩm giấy gói quà"
"key_gift_wrap_products","Sản phẩm gói quà"
"key_coupn_gift","Quà tặng & Mã giảm giá"
